Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505213,-,-,-,37.97,-104.18,-7,1433,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,GHI,DNI,Cloud Type,Pressure,Wind Speed
2013,1,1,0,30,77.69,-6.6000000000000005,0,0,4,851,0.4
2013,1,1,1,30,78.95,-6.800000000000001,0,0,4,851,0.30000000000000004
2013,1,1,2,30,80.23,-7,0,0,4,852,0.4
2013,1,1,3,30,81.24,-7.2,0,0,4,851,0.5
2013,1,1,4,30,81.08,-7.2,0,0,4,852,0.6000000000000001
2013,1,1,5,30,79.12,-6.9,0,0,1,852,0.5
2013,1,1,6,30,76.94,-6.5,0,0,1,852,0.30000000000000004
2013,1,1,7,30,73.01,-5.7,10,0,4,853,0.4
2013,1,1,8,30,65.66,-4.2,25,0,4,853,0.7000000000000001
2013,1,1,9,30,59.2,-2.9000000000000004,232,10,4,854,1
2013,1,1,10,30,54.56,-2,347,35,4,853,0.9
2013,1,1,11,30,51.17,-1.3,387,34,4,853,0.7000000000000001
2013,1,1,12,30,48.730000000000004,-0.9,462,201,4,852,0.6000000000000001
2013,1,1,13,30,47.64,-0.8,384,94,4,852,0.6000000000000001
2013,1,1,14,30,47.43,-0.9,188,2,4,852,0.30000000000000004
2013,1,1,15,30,48.78,-1.4000000000000001,184,558,0,852,0.4
2013,1,1,16,30,53.4,-2.3000000000000003,29,182,0,852,0.9
2013,1,1,17,30,56.120000000000005,-3.1,0,0,0,853,1.5
2013,1,1,18,30,58.42,-4,0,0,0,853,1.7000000000000002
2013,1,1,19,30,61,-4.9,0,0,1,853,1.6
2013,1,1,20,30,61.29,-5.6000000000000005,0,0,0,853,1.5
2013,1,1,21,30,59.25,-6,0,0,0,853,1.8
2013,1,1,22,30,55.61,-6.4,0,0,4,853,2.4000000000000004
2013,1,1,23,30,51.82,-6.9,0,0,4,853,2.8000000000000003
2013,1,2,0,30,48.980000000000004,-7.4,0,0,1,853,3
2013,1,2,1,30,47.53,-7.800000000000001,0,0,1,853,3.2
2013,1,2,2,30,46.56,-8.1,0,0,1,853,3.2
2013,1,2,3,30,45.660000000000004,-8.3,0,0,1,853,2.9000000000000004
2013,1,2,4,30,45.64,-8.5,0,0,1,853,2.3000000000000003
2013,1,2,5,30,45.99,-8.5,0,0,4,853,1.9000000000000001
2013,1,2,6,30,46.2,-8.1,0,0,4,854,1.6
2013,1,2,7,30,41.69,-5.9,30,369,1,855,1.6
2013,1,2,8,30,38.24,-2.8000000000000003,108,7,4,855,2
2013,1,2,9,30,36.69,-0.7000000000000001,350,882,1,856,2.5
2013,1,2,10,30,38.79,0.30000000000000004,468,941,1,855,2.6
2013,1,2,11,30,38.54,0.7000000000000001,530,958,0,854,2.3000000000000003
2013,1,2,12,30,38.14,0.7000000000000001,531,954,0,854,2.3000000000000003
2013,1,2,13,30,37.83,0.6000000000000001,469,926,0,854,2.7
2013,1,2,14,30,38.28,0.2,353,864,0,854,3.1
2013,1,2,15,30,41.94,-1.3,195,728,0,854,2.9000000000000004
2013,1,2,16,30,46.88,-2.9000000000000004,34,338,0,855,2.5
2013,1,2,17,30,47.730000000000004,-3.3000000000000003,0,0,1,855,2.2
2013,1,2,18,30,47.980000000000004,-3.4000000000000004,0,0,1,856,1.8
2013,1,2,19,30,49.25,-3.4000000000000004,0,0,4,857,1.2000000000000002
2013,1,2,20,30,52.29,-3.5,0,0,4,857,0.8
2013,1,2,21,30,54.33,-3.7,0,0,4,858,0.8
2013,1,2,22,30,55.660000000000004,-4,0,0,4,858,0.9
2013,1,2,23,30,57.620000000000005,-4.3,0,0,4,858,1
2013,1,3,0,30,60.46,-4.7,0,0,4,858,1
2013,1,3,1,30,64.42,-5.300000000000001,0,0,4,858,1
2013,1,3,2,30,69.87,-6.2,0,0,4,858,1.1
2013,1,3,3,30,74.93,-7.1000000000000005,0,0,4,858,1.2000000000000002
2013,1,3,4,30,77.41,-7.7,0,0,4,858,1.3
2013,1,3,5,30,78.29,-8.200000000000001,0,0,4,858,1.3
2013,1,3,6,30,74.88,-8.200000000000001,0,0,4,858,1.5
2013,1,3,7,30,61.6,-6.5,6,0,4,859,2.3000000000000003
2013,1,3,8,30,46.08,-3.4000000000000004,105,5,4,859,3
2013,1,3,9,30,37.54,-0.8,356,906,1,859,2.8000000000000003
2013,1,3,10,30,30.92,0.9,476,971,1,858,2.4000000000000004
2013,1,3,11,30,26.25,2,548,1006,1,857,2.2
2013,1,3,12,30,23.47,2.6,549,1011,0,856,1.9000000000000001
2013,1,3,13,30,21.55,2.9000000000000004,488,992,0,856,1.6
2013,1,3,14,30,21.28,2.4000000000000004,369,938,0,855,1.1
2013,1,3,15,30,31.6,0.6000000000000001,208,816,0,855,0.8
2013,1,3,16,30,32.44,-1.5,39,464,0,855,1
2013,1,3,17,30,34.05,-2.6,0,0,1,855,1.5
2013,1,3,18,30,36.96,-3.2,0,0,1,856,1.9000000000000001
2013,1,3,19,30,36.92,-3.4000000000000004,0,0,1,856,2.2
2013,1,3,20,30,36.27,-3.6,0,0,1,856,2.3000000000000003
2013,1,3,21,30,36.53,-4.2,0,0,1,856,2.2
2013,1,3,22,30,36.550000000000004,-4.9,0,0,1,856,2.1
2013,1,3,23,30,36.94,-5.5,0,0,1,856,2.1
2013,1,4,0,30,37.76,-5.9,0,0,4,856,2.1
2013,1,4,1,30,39.03,-6.2,0,0,4,856,2
2013,1,4,2,30,40.03,-6.4,0,0,1,856,2
2013,1,4,3,30,39.78,-6.300000000000001,0,0,1,855,2
2013,1,4,4,30,39.03,-6.2,0,0,4,855,1.9000000000000001
2013,1,4,5,30,37.27,-5.9,0,0,4,855,1.9000000000000001
2013,1,4,6,30,35.08,-5.5,0,0,4,855,1.8
2013,1,4,7,30,29.96,-3.5,9,0,4,855,2
2013,1,4,8,30,26.98,-0.1,118,13,4,855,2.5
2013,1,4,9,30,21.150000000000002,3.1,329,514,4,855,2.2
2013,1,4,10,30,17.62,5.2,468,639,3,854,1.2000000000000002
2013,1,4,11,30,15.610000000000001,6.300000000000001,549,1027,0,853,0.7000000000000001
2013,1,4,12,30,14.83,6.7,551,1028,0,852,0.9
2013,1,4,13,30,14.85,6.6000000000000005,490,1005,0,851,1.1
2013,1,4,14,30,16.990000000000002,5.1000000000000005,372,950,0,851,0.9
2013,1,4,15,30,34.1,2.5,211,824,0,851,0.8
2013,1,4,16,30,29.13,0.30000000000000004,23,2,7,851,1
2013,1,4,17,30,28.85,-0.6000000000000001,0,0,4,850,1
2013,1,4,18,30,30.32,-0.9,0,0,7,850,1
2013,1,4,19,30,31.44,-1,0,0,7,850,1.2000000000000002
2013,1,4,20,30,33.56,-1.3,0,0,4,850,1.4000000000000001
2013,1,4,21,30,36,-1.6,0,0,1,850,1.5
2013,1,4,22,30,38.24,-1.8,0,0,4,850,1.7000000000000002
2013,1,4,23,30,41.52,-2,0,0,4,850,2.1
2013,1,5,0,30,46.59,-2.1,0,0,4,850,2.6
2013,1,5,1,30,52.08,-2.4000000000000004,0,0,4,851,3.1
2013,1,5,2,30,55.13,-2.8000000000000003,0,0,4,851,3.6
2013,1,5,3,30,55.14,-3.4000000000000004,0,0,4,851,4
2013,1,5,4,30,51.660000000000004,-4,0,0,1,852,4.1000000000000005
2013,1,5,5,30,46.38,-4.4,0,0,4,853,4.1000000000000005
2013,1,5,6,30,41.99,-4.6000000000000005,0,0,4,854,4
2013,1,5,7,30,34.800000000000004,-3.1,10,0,4,855,4.2
2013,1,5,8,30,28.03,-0.2,125,27,4,856,4.2
2013,1,5,9,30,23.96,2.6,337,546,3,857,3.7
2013,1,5,10,30,23.35,4.4,472,652,3,856,3.3000000000000003
2013,1,5,11,30,23.04,5.5,545,995,1,856,2.7
2013,1,5,12,30,22.64,6.1000000000000005,548,998,0,856,2.3000000000000003
2013,1,5,13,30,23.01,6.2,487,975,0,856,2.1
2013,1,5,14,30,26.150000000000002,4.9,370,913,0,856,1.7000000000000002
2013,1,5,15,30,39.910000000000004,2,207,772,0,857,1.3
2013,1,5,16,30,44.35,-0.4,41,416,0,857,1.3
2013,1,5,17,30,46.53,-1.3,0,0,1,858,1.2000000000000002
2013,1,5,18,30,48.68,-1.6,0,0,1,858,1.1
2013,1,5,19,30,49.18,-1.7000000000000002,0,0,4,859,1
2013,1,5,20,30,48.56,-1.6,0,0,4,859,1
2013,1,5,21,30,47.14,-1.3,0,0,1,859,1
2013,1,5,22,30,46.47,-1.2000000000000002,0,0,4,859,1
2013,1,5,23,30,46.11,-1.2000000000000002,0,0,4,859,1.1
2013,1,6,0,30,46.96,-1.7000000000000002,0,0,1,859,1.4000000000000001
2013,1,6,1,30,48.28,-2.5,0,0,1,858,1.7000000000000002
2013,1,6,2,30,49.730000000000004,-3.5,0,0,1,858,2.1
2013,1,6,3,30,48.86,-4.1000000000000005,0,0,1,857,2.3000000000000003
2013,1,6,4,30,46.39,-4.5,0,0,1,857,2.4000000000000004
2013,1,6,5,30,42.910000000000004,-4.6000000000000005,0,0,4,857,2.4000000000000004
2013,1,6,6,30,39.32,-4.3,0,0,4,857,2.4000000000000004
2013,1,6,7,30,33.29,-2.5,8,0,4,857,2.6
2013,1,6,8,30,28.580000000000002,0.9,116,10,4,857,2.9000000000000004
2013,1,6,9,30,21.64,4.2,259,126,4,856,2.7
2013,1,6,10,30,19.27,7.2,472,640,3,855,2.4000000000000004
2013,1,6,11,30,17.11,9.5,554,1029,0,854,2.7
2013,1,6,12,30,16.13,10.9,557,1032,0,853,2.8000000000000003
2013,1,6,13,30,17.29,10.9,497,1009,0,852,2.2
2013,1,6,14,30,30.42,8.6,380,951,0,851,1.5
2013,1,6,15,30,40.230000000000004,4.6000000000000005,218,827,0,851,1.6
