Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,505213,-,-,-,37.97,-104.18,-7,1433,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Relative Humidity,Temperature,GHI,DNI,Cloud Type,Pressure,Wind Speed
2024,1,1,0,30,79.45,-2.1,0,0,0,855,0.7000000000000001
2024,1,1,1,30,79.13,-2.3000000000000003,0,0,0,855,0.8
2024,1,1,2,30,79.42,-2.6,0,0,0,855,0.9
2024,1,1,3,30,78.39,-2.7,0,0,0,854,0.9
2024,1,1,4,30,75.81,-2.5,0,0,0,854,1
2024,1,1,5,30,71.49,-2,0,0,0,855,1.1
2024,1,1,6,30,64.74,-1,0,0,7,855,1.3
2024,1,1,7,30,55.36,1.1,29,263,0,855,1.8
2024,1,1,8,30,47.78,4.2,174,617,0,855,2.1
2024,1,1,9,30,36.37,7.300000000000001,341,867,0,855,1.8
2024,1,1,10,30,30.17,10,456,937,0,854,1.4000000000000001
2024,1,1,11,30,25.43,11.9,476,741,0,853,1.2000000000000002
2024,1,1,12,30,22.73,12.9,425,528,7,852,1.1
2024,1,1,13,30,21.3,13.200000000000001,451,887,0,852,0.9
2024,1,1,14,30,26.71,11.5,282,429,8,852,0.8
2024,1,1,15,30,44.67,8.3,146,199,7,852,0.9
2024,1,1,16,30,44.51,5.800000000000001,30,269,7,852,1
2024,1,1,17,30,44.64,4.7,0,0,7,852,0.9
2024,1,1,18,30,46.13,3.8000000000000003,0,0,7,853,0.7000000000000001
2024,1,1,19,30,50.72,2.3000000000000003,0,0,7,853,1
2024,1,1,20,30,58.370000000000005,0.9,0,0,7,853,1.4000000000000001
2024,1,1,21,30,60.45,0.4,0,0,7,853,1.5
2024,1,1,22,30,59.160000000000004,0.5,0,0,7,853,1.6
2024,1,1,23,30,56.7,0.9,0,0,7,853,1.5
2024,1,2,0,30,55.61,1.1,0,0,7,853,1.4000000000000001
2024,1,2,1,30,56.300000000000004,1,0,0,7,854,1.3
2024,1,2,2,30,58.77,0.6000000000000001,0,0,7,854,1.4000000000000001
2024,1,2,3,30,62.660000000000004,0.1,0,0,0,854,1.6
2024,1,2,4,30,66.26,-0.30000000000000004,0,0,0,855,1.6
2024,1,2,5,30,69.06,-0.6000000000000001,0,0,4,855,1.5
2024,1,2,6,30,69.78,-0.5,0,0,0,856,1.2000000000000002
2024,1,2,7,30,64.84,0.8,16,126,0,856,1.2000000000000002
2024,1,2,8,30,57.63,2.9000000000000004,72,10,7,856,1.2000000000000002
2024,1,2,9,30,51.9,4.9,262,323,8,856,1.2000000000000002
2024,1,2,10,30,47.18,6.5,452,920,0,856,1.1
2024,1,2,11,30,42.92,7.9,515,958,0,855,0.7000000000000001
2024,1,2,12,30,39.56,8.9,516,958,0,854,0.7000000000000001
2024,1,2,13,30,37.660000000000004,9.3,456,931,0,853,0.9
2024,1,2,14,30,38.06,8.8,344,872,0,853,1.3
2024,1,2,15,30,47.85,6.1000000000000005,190,734,0,853,1.5
2024,1,2,16,30,63.47,2.7,31,291,0,853,1.6
2024,1,2,17,30,67.01,1,0,0,0,853,1.5
2024,1,2,18,30,69.9,0.1,0,0,0,853,1.3
2024,1,2,19,30,70.24,-0.4,0,0,0,854,1
2024,1,2,20,30,67.02,-0.30000000000000004,0,0,0,854,0.9
2024,1,2,21,30,64.02,-0.30000000000000004,0,0,0,854,0.8
2024,1,2,22,30,62.15,-0.5,0,0,0,854,0.9
2024,1,2,23,30,61.27,-0.8,0,0,0,853,1.1
2024,1,3,0,30,61.68,-1.3,0,0,0,853,1.4000000000000001
2024,1,3,1,30,62.79,-1.9000000000000001,0,0,0,853,1.6
2024,1,3,2,30,61.93,-2.1,0,0,0,852,1.8
2024,1,3,3,30,59.85,-2.1,0,0,0,852,2
2024,1,3,4,30,57.44,-2,0,0,0,852,2.2
2024,1,3,5,30,55.34,-2,0,0,0,852,2.3000000000000003
